# VSOP87 -> DE406 ICRS 地心太阳改正（Chapront 2000 混合项）。T = (JD−J2000)/365250 儒略千年。
# Δ = secular(a0..a3) + Σ (c0+c1*T)cos(f*T) + (s0+s1*T)sin(f*T)。RA/Dec 角秒，R AU。
# 段：[RA] 4 个长期项 + 23 行 (freq c0 s0 c1 s1)；[Dec] 4+25；[R] 4+24。

[RA]
2.74309587572755e-23 0.0849763982910627 -0.1726547972212061 -0.06742795589101126
10213.285546211 5.9382920835672004e-05 -0.00023364949516779582 0.0003062685137657909 -0.00011510691054547729
14143.4952424306 -0.0001625366961472204 9.746541221401153e-05 -4.355688935957916e-05 1.0446780989036749e-05
6812.766815086 -0.0001081470194548478 -0.0004087982543907412 -5.504081999700218e-05 0.0009383416979010491
71092.88135493269 5.5482754082853034e-05 1.4750603993568323e-05 -5.8512681783668345e-05 3.2906935985275295e-05
4694.0029547076 -1.903228612935684e-05 1.285957488139476e-05 -0.0006979513841890475 -1.197194449080514e-05
6620.8901131878 4.046878763676659e-06 -5.0987065296329336e-05 -9.923881175913454e-05 -7.97497113968468e-05
5753.3848848968 -4.594348163144376e-06 -0.00018136759180965343 0.00035113825983016484 0.0015202190694866623
7084.8967811152 -2.9974361346280017e-05 -0.00010004045025313202 0.0002908192869127302 -0.0001933276717784348
167621.5758508619 2.307534742568883e-05 -3.6513016505072294e-05 0.00010015249099292276 -6.859862692026979e-05
529.6909650946 2.0751326971341046e-05 -1.3804817948252394e-05 0.0005390754633393003 -0.00016709975463734738
6275.9623029906 -0.00284652005060063 0.003327389173976076 -0.002850960569697719 0.007256433052801024
7860.4193924392 -6.880912218440209e-05 -5.287221326209155e-05 -0.0005509155403309409 -0.0003637968834411769
4705.7323075436 4.5456720929287323e-05 -0.00010482897811058814 0.0001730395617095911 -0.00032044749405101463
18073.7049386502 1.644978589509027e-05 5.6701379059154614e-05 7.629802092435995e-05 0.0002493760354632488
5884.9268465832 5.2643047126535697e-05 2.0364226866356166e-05 0.00012042082759935367 -0.00015029660565428466
6309.3741697912 0.0005212765034381571 0.0007792611662424257 -0.0008530108173641322 0.004047800061918121

[R]
4.4568265853497573e-10 -1.645943593222359e-10 -1.6761227914642447e-09 -2.446660862344429e-10
6283.0758499914 -1.368432057856594e-08 -4.264629888130179e-09 -1.3450527601391712e-07 -5.271008359859344e-08
12566.1516999828 -1.8775594156062262e-08 -4.2300443381643526e-08 -1.1813576186262156e-08 -4.146307803683276e-08
77713.7714681205 -3.56195432183694e-09 1.8248919526959012e-09 2.993663793315091e-08 -1.534156423051984e-08
5753.3848848968 1.3020060693786912e-10 8.902366932033028e-10 5.156707052389663e-09 2.4774618266872247e-09
7860.4193924392 8.446680089709701e-10 7.807154197305277e-10 1.7113833644786307e-09 6.889038606414542e-10
11506.7697697936 -1.013936838143053e-09 5.471728994523016e-10 -6.267257770973139e-09 5.658609873165883e-09
3930.2096962196 1.93499460420246e-10 1.028543610180859e-09 -5.652534455164549e-10 -7.879086022884668e-11
5884.9268465832 -9.498565308835816e-10 7.318816767130068e-10 -2.151404124196161e-10 -1.8256297975099374e-10
5507.5532386674 1.0730861424023379e-09 -1.6396628552413729e-09 2.6884848530263405e-09 -4.604128617941115e-10
5223.6939198022 -5.505674913984129e-10 1.3209669010882385e-11 1.1182385474285569e-09 4.652643142246404e-09
5573.1428014331 -1.8810644247544688e-10 -3.232122716850578e-11 -1.851691626167335e-09 -3.75525178300254e-09
11790.6290886588 -1.8913839882157672e-10 1.3869986660695396e-09 1.9249654321339844e-10 4.5421463170207696e-10
1577.3435424478 1.4764514215416457e-10 6.361526774306633e-10 6.414278569427852e-10 2.2208374829822453e-09
10977.078804699 2.1468946485283162e-10 -3.69606865856887e-12 -4.559057716618918e-09 3.7392886454778985e-09
18849.2275499742 7.988461072163254e-10 -2.8192367618375763e-10 4.1380256428974546e-10 -1.5089029900097923e-10
5486.777843175 1.0822749050402362e-11 1.9168803943637972e-10 -3.206186140578554e-10 -1.1452857685144846e-10
6069.7767545534 5.280944350223468e-10 7.324756762659298e-11 -4.4402848445687547e-10 3.2764044440989435e-10
15720.8387848784 1.3842599478656889e-09 -8.900163698624593e-09 -3.5081778298855966e-09 -7.553983813173595e-09
161000.6857376741 4.839134210358359e-10 4.23582926893007e-10 -2.637363420976252e-09 -4.243985150788491e-10
17260.1546546904 -8.095271756342464e-11 -4.3778173423991137e-10 -9.957311987455642e-11 1.6107207369223246e-09
529.6909650946 -2.7381071539176203e-10 1.378687093603055e-10 -3.0300606036677715e-10 -1.4012347841111333e-09
83996.84731811189 -3.4350406312164754e-10 -4.816985595302822e-10 -1.0709207054141118e-09 -9.093100015388562e-12
