# VSOP87 -> DE406 黄道改正（Chapront 2000 混合项）。T = (JD−J2000)/365250 儒略千年。
# Δ = secular(a0..a3) + Σ (c0+c1*T)cos(f*T) + (s0+s1*T)sin(f*T)。L/B 角秒，R AU。
# 段：[L] 4 个长期项 + 若干行 (freq c0 s0 c1 s1)；[B] 4+若干；[R] 4+若干。

[L]
-0.0009999999999999998 0.10550754356415648 -0.08607449335406317 -0.03581457242504816
5223.6939198022 -0.0012452051764590935 -0.0018596687661304922 -0.0010727555615306545 -0.0011038491449116828
2352.8661537718 0.0009338175917143923 -0.0017660841902582942 -9.290346216883229e-05 -0.0006645408832498648
1577.3435424478 0.0022987931377817473 -0.0017967523206844742 0.0011676705007745113 -0.0008860575749635169
1047.7473117547 0.0008945222555592922 -0.0010433343592531042 0.0005475614557416909 -0.0007091368968130137
6283.0758499914 0.024975413372234793 0.0361424886447999 -0.017040998462271414 -0.007188284696565534
5856.4776591154 -0.002371652257814162 -0.0014780580974439457 -0.001530369057118137 -0.0006065634708806169
9437.762934887 0.0016206625283595637 0.0018258102482094473 0.0006172824433181645 0.0011469228121911098
10213.285546211 -0.0019529333012199828 0.001970367777785782 -0.0010057285269916968 0.001129543588222946
14143.4952424306 -0.002122936985903427 0.002235037889830652 -0.0012016729880517186 0.0013411964889762798
6812.766815086 0.00220286948075689 -0.0021726475561164387 0.001178663117515595 -0.000967543309278652
71092.88135493269 0.001357652935959342 0.0009200033407102518 0.0006684937260106159 0.0004905806091827783
4694.0029547076 -0.0024850579841394407 0.001472476093764116 -0.001609883762807553 0.0004545030560124965
6620.8901131878 0.0008049187251302093 -0.0021900732868924597 0.00030007061151147714 -0.001405017184990855
5753.3848848968 0.0016929789825677393 -0.0013334122282542328 0.0010385823302326595 -0.0004851461080620736
7084.8967811152 0.002061814416725065 -0.0016089297461965493 0.001074726606788467 -0.0008914588005796052
167621.5758508619 0.0023114994612307067 0.0012826582331021182 0.0012787254146442752 0.0006833684703671137
529.6909650946 0.0007036940950208257 0.0017063961446119205 0.0005215354927639838 0.0011466317826719214
6275.9623029906 -0.0030765036789030054 0.002609465395864706 -0.0010612995217075408 0.0007736878360980154
7860.4193924392 -0.001928398529252311 0.0013039326325507813 -0.0012471720096127036 0.0006036991261551986
4705.7323075436 0.0016465526062032637 -0.00242018343744795 0.0006549877946512389 -0.0014319999603818903
18073.7049386502 0.0020532404856168965 -0.0012113616150459443 0.0011836609390917555 -0.0006764359074408891
5884.9268465832 -0.0016838372407905243 0.0015085100376457372 -0.0006706540489453855 0.0006096446758386166
6309.3741697912 0.0013246429993123005 -0.0031513734150737625 0.0005440942074320118 -0.0017217468419882028

[R]
4.4588033041317024e-10 -1.6459413977618016e-10 -1.676122187297971e-09 -2.44665823155811e-10
6283.0758499914 -1.3684741556405329e-08 -4.264702543521064e-09 -1.3450564912450783e-07 -5.2710136272227605e-08
12566.1516999828 -1.877553077072673e-08 -4.2300581062469724e-08 -1.1813640238813343e-08 -4.1463158973839487e-08
77713.7714681205 -3.56194009283244e-09 1.8248876088076272e-09 2.993665342064786e-08 -1.5341568327590036e-08
5753.3848848968 1.302016285540779e-10 8.902359259009967e-10 5.15670782457256e-09 2.4774610152206363e-09
7860.4193924392 8.446685232908729e-10 7.807152404385773e-10 1.711383904886019e-09 6.889037687823946e-10
11506.7697697936 -1.0139382049230078e-09 5.471733015173535e-10 -6.267258768487084e-09 5.658609983772302e-09
3930.2096962196 1.9349898835305492e-10 1.0285440539876738e-09 -5.652539044357e-10 -7.879083623839671e-11
5884.9268465832 -9.498558700827876e-10 7.318804495887267e-10 -2.1513952972762144e-10 -1.8256397437002862e-10
5507.5532386674 1.0730861758361616e-09 -1.6396634385648304e-09 2.6884850694058687e-09 -4.604129959362924e-10
